species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
2438890,3,Eothenomys olitor,Black-eared Chinese Vole,0
2438896,3,Eothenomys proditor,Lijiang Oriental Vole,0
2438953,3,Synaptomys borealis,Northern Bog Lemming,0
2439012,3,Melomys rubicola,Bramble Cay Melomys,0
2439029,3,Bibimys labiosus,Lagoa Santa Akodont,1
2439061,3,Niviventer rapit,Bornean White-bellied Rat,3
2439167,3,Thomasomys notatus,Distinguished Oldfield Mouse,0
2439173,3,Thomasomys hylophilus,Woodland Oldfield Mouse,0
2439199,3,Grammomys aridulus,Arid Thicket Rat,3
2439271,3,Rattus stoicus,Andaman Archipelago Rat,1
2439279,3,Rattus steini,Small Spiny Rat,0
2439319,3,Oecomys superans,Foothill Arboreal Rice Rat,1
2439380,3,Zygogeomys trichopus,Michoacan Pocket Gopher,0
2439404,3,Orthogeomys underwoodi,Underwood S Pocket Gopher.,2
2439408,3,Orthogeomys cavator,Chiriqui Pocket Gopher,3
2439544,3,Dipodomys gravipes,San Quintin Kangaroo Rat,2
2439623,3,Ctenomys tucumanus,Tucuman Tuco-tuco,3
2439645,3,Tympanoctomys barrerae,Plains Viscacha Rat,1
2439808,3,Clyomys laticeps,Broad-headed Spiny Rat,0
2439946,3,Marmosops invictus,Panama Slender Mouse Opossum,0
2439948,3,Marmosops paulensis,Brazilian Slender Opossum,0
2439949,3,Marmosops fuscatus,Dusky Slender Mouse Opossum,3
2439963,3,Monodelphis glirina,Amazonian Red-sided Opossum,2
2439967,3,Monodelphis rubida,Chestnut-striped Opossum,
2440072,3,Pseudochirops corinnae,Golden Ringtail Possum,2
2440169,3,Thylogale browni,Brown S Pademelon,0
2440213,3,Dendrolagus dorianus,Doria's Tree Kangaroo,3
2440253,3,Trichosurus arnhemensis,Northern Brushtail,
2440275,3,Phalanger vestitus,Steins Cuscus,3
2440283,3,Strigocuscus pelengensis,Banggai Cuscus,
2440777,3,Dasypus pilosus,Hairy Long-nosed Armadillo,1
2440821,3,Calyptophractus retusus,Greater Fairy Armadillo,0
2441156,3,Cephalophus spadix,Abbott's Duiker,3
4262223,3,Moschus cupreus,Kashmir Musk Deer,2
4262976,3,Proechimys echinothrix,Stiff-spine Spiny-rat,3
4264689,3,Tachyoryctes ibeanus,Kenyan African Mole Rat,
4264861,3,Pithecheirops otion,Bornean Pithecheirops,3
4264958,3,Madromys blanfordi,Blanford S Madromys,3
4264996,3,Stenocephalemys albipes,Ethiopian White-footed Mouse,0
4265022,3,Microtus brachycercus,Calabria Pine Vole,1
4265023,3,Oecomys catherinae,Atlantic Forest Arboreal Rice Rat,2
4265088,3,Akodon paranaensis,Parana Akodont,0
4265189,3,Oxymycterus dasytrichus,Atlantic Forest Hocicudo,2
4265411,3,Neonycteris pusilla,Kleinst-grorohrblattanse,
4265951,3,Histiotus laephotis,Thomas's Big-eared Brown Bat,1
4266281,3,Hypsugo arabicus,Arabian Pipistrelle,0
4266846,3,Rhinolophus bocharicus,Bokhara Horseshoe Bat,0
4266949,3,Tarsius tarsier,Selayar Tarsier,2
4266969,3,Cheirogaleus sibreei,Sibree S Dwarf Lemur,1
4267400,3,Thomomys atrovarius,Black-and-brown Pocket Gopher,
4825829,3,Mammut americanum,American Mastodon,
5218438,3,Amblysomus robustus,Robust Golden Mole,2
5218563,3,Hipposideros coronatus,Large Mindanao Leaf-nosed Bat,0
5218595,3,Hipposideros turpis,Lesser Great Leaf-nosed Bat,1
5218630,3,Nyctimene aello,Broad-striped Tube-nosed Fruit Bat,3
5218656,3,Pteropus brunneus,Dusky Flying Fox,0
5218702,3,Acerodon macklotii,Sunda Flying Fox,
5218720,3,Chaerephon major,Giant Gland-tailed Bat,
5218755,3,Stenoderma rufum,Desmarest's Fig-eating Bat,2
5219479,3,Cryptotis goodwini,Goodwin's Broad-clawed Shrew,0
5219486,3,Cryptotis griseoventris,Dark Mexican Broad-clawed Shrew,0
5219492,3,Cryptotis hondurensis,Honduran Small-eared Shrew,3
5219675,3,Sciurus pyrrhinus,Ardilla De Junin,2
5219689,3,Sciurus sanborni,Ardilla De Sanborn,0
5219889,3,Hystrix pumila,Phillipine Porcupine,2
5219944,3,Chinchilla lanigera,Chilean Chinchilla,
5219947,3,Philander mcilhennyi,Mcilhenny S Four-eyed Opossum,2
5706497,3,Cavia intermedia,Santa Catarina's Guinea Pig,1
5706739,3,Otomys orestes,Afroalpine Vlei Rat,
5706909,3,Hipposideros durgadasi,Durga Das's Leaf-nosed Bat,2
5707308,3,Presbytis natunae,Natuna Island Surili,2
5786125,3,Nomascus nasutus,Eastern Black Crested Gibbon,3
5786266,3,Rungwecebus kipunji,Highland Mangabey,2
