species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
5228824,5364410,Dryocopus pileatus,Pileated Woodpecker,
2477968,5198187,Dendrocopos major,Great Spotted Woodpecker,27674
2498329,5181344,Bucephala albeola,Bufflehead,1700497
2482077,5135761,Podilymbus podiceps,Pied-billed Grebe,2071607
2480487,5064168,Circus cyaneus,Northern Harrier / Hen Harrier,1465247
2480529,5048886,Buteo lineatus,Red-shouldered Hawk,3162
2498387,5008246,Aix sponsa,Wood Duck,2231933
2481172,4993548,Larus marinus,Great Black-backed Gull,2367769
2493052,4992520,Phylloscopus trochilus,Willow Warbler,141361
9709230,4799457,Pipilo maculatus,Spotted Towhee,2269316
2476674,4779375,Calypte anna,Anna's Hummingbird,2359482
2480873,4740504,Egretta thula,Snowy Egret,2471
2498036,4700037,Anser anser,Graylag Goose,2446598
6100954,4636234,Coloeus monedula,Eurasian Jackdaw / Western Jackdaw,
5228514,4586741,Archilochus colubris,Ruby-throated Hummingbird,2134077
7901064,4430218,Turdus philomelos,Song Thrush,2159993
2480242,4328054,Vanellus vanellus,Northern Lapwing,1234
2484340,4282277,Icterus galbula,Baltimore Oriole,2720644
5231647,4239734,Spinus psaltria,Lesser Goldfinch,2862218
5231198,4212285,Passer montanus,Eurasian Tree Sparrow,20699
5229493,4196291,Garrulus glandarius,Eurasian Jay,12766
2482515,4188344,Corvus cornix,Hooded Crow,
5231142,4129989,Passerculus sandwichensis,Savannah Sparrow,1679275
5229688,4124384,Tyrannus tyrannus,Eastern Kingbird,1863588
2489985,4094958,Setophaga ruticilla,American Redstart,1906190
2490327,3974496,Passerina cyanea,Indigo Bunting,2423733
2484596,3898539,Regulus regulus,Goldcrest,1331914
4409023,3888884,Chaetura pelagica,Chimney Swift,2344013
2498375,3885705,Mergus serrator,Red-breasted Merganser,1959861
2498261,3838464,Aythya fuligula,Tufted Duck,9442
5231763,3829128,Prunella modularis,Dunnock / Hedge Accentor,1798963
5229734,3816321,Contopus virens,Eastern Wood-pewee,1878338
7788295,3786379,Haematopus ostralegus,Eurasian Oystercatcher,1298371
2480876,3778394,Egretta garzetta,Little Egret,2516
9476062,3773839,Quiscalus mexicanus,Great-tailed Grackle,2450082
2483612,3759677,Sayornis nigricans,Black Phoebe,1731671
2484591,3744708,Regulus satrapa,Golden-crowned Kinglet,1816057
2483597,3717869,Myiarchus crinitus,Great Crested Flycatcher,1774421
2481798,3692694,Actitis macularius,Spotted Sandpiper,11346
2480830,3631423,Bubulcus ibis,Cattle Egret,2490
2484916,3629661,Sitta europaea,Eurasian Nuthatch,1924165
2498155,3621397,Mareca americana,American Wigeon,1525906
5231635,3620633,Spinus pinus,Pine Siskin,144
2498112,3613179,Anas acuta,Northern Pintail,1628687
9479809,3610620,Toxostoma rufum,Brown Thrasher,331
8077224,3589692,Alauda arvensis,Sky Lark / Eurasian Skylark,1733318
2482054,3559582,Podiceps cristatus,Great Crested Grebe,1553297
2487446,3552040,Vireo gilvus,Warbling Vireo,1693904
2491557,3513075,Emberiza schoeniclus,Reed Bunting / Common Reed-bunting,1332599
2489613,3460680,Mniotilta varia,Black-and-white Warbler,1577595
2489005,3456104,Acridotheres tristis,Common Myna,2325
2482481,3454070,Corvus ossifragus,Fish Crow,80
2498264,3446927,Aythya collaris,Ring-necked Duck,1486267
2490810,3421268,Catharus guttatus,Hermit Thrush,1497450
9539567,3362513,Butorides virescens,Green Heron,
2481759,3354993,Calidris alpina,Dunlin,67945
2493843,3353290,Thryomanes bewickii,Bewick's Wren,1560585
2491534,3345772,Emberiza citrinella,Yellowhammer,143280
9752149,3331394,Phasianus colchicus,Ring-necked Pheasant / Common Pheasant,5338
2481720,3327759,Tringa melanoleuca,Greater Yellowlegs,8491
2492235,3323817,Melospiza georgiana,Swamp Sparrow,1561013
2498408,3315252,Lophodytes cucullatus,Hooded Merganser,1471072
2495370,3291670,Zenaida asiatica,White-winged Dove,13208
2490266,3287894,Anthus pratensis,Meadow Pipit,941626
7982160,3278664,Larus canus,Mew Gull,1373370
2480482,3263772,Circus aeruginosus,Western Marsh-harrier,997672
5231630,3244767,Acanthis flammea,Common Redpoll,1184231
2489202,3232947,Stelgidopteryx serripennis,Northern Rough-winged Swallow,53
6065844,3209226,Leucophaeus atricilla,Laughing Gull,
2481962,3201759,Gavia immer,Common Loon / Great Northern Loon,1774615
2480863,3111926,Nycticorax nycticorax,Black-crowned Night-heron,2030
6092830,3088527,Spinus spinus,Eurasian Siskin,130565
9422220,3047682,Spatula discors,Blue-winged Teal,1340261
2482048,3023756,Tachybaptus ruficollis,Little Grebe,7800
6093345,3015961,Setophaga americana,Northern Parula,1454954
2498305,3007197,Oxyura jamaicensis,Ruddy Duck,1646741
5228676,2995039,Apus apus,Common Swift,114
