species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
2425838,214,Pristimantis fenestratus,Rio Mamore Robber Frog,95
2427120,214,Lithobates capito,Gopher Frog,121
10775001,213,Sclerophrys poweri,,175
10685955,212,Lithobates lenca,Lenca Leopard Frog,175
2423561,212,Physalaemus centralis,,5
2424566,212,Metacrinia nichollsi,Nicholl’s Toadlet,76
2425119,212,Pristimantis pteridophilus,Fern-loving Treefrog,4
5217875,212,Scinax perereca,,68
2424187,211,Eleutherodactylus pinchoni,Guadeloupe Forest Frog,19
10854917,210,Sylvirana mortenseni,,
2425199,210,Pristimantis lymani,,75
2427353,210,Aplastodiscus perviridis,Canebrake Treefrog,33
2431455,210,Speleomantes ambrosii,Ambrosi's Cave Salamander,144
2428325,209,Hyloscirtus palmeri,Palmer's Treefrog,73
2425693,208,Pristimantis frater,Meta Robber Frog,101
5217871,208,Scinax boesemani,Boeseman's Snouted Treefrog,94
2424682,207,Leptobrachium hendricksoni,Spotted Litter Frog,160
2425669,207,Pristimantis variabilis,Variable Robber Frog,7
2430180,206,Phrynobatrachus auritus,Golden Puddle Frog,54
2430320,206,Occidozyga sumatrana,Puddle Frog,167
5218299,206,Ichthyophis kohtaoensis,Koa Tao Island Caecilian,131
2422903,205,Anaxyrus compactilis,Plateau Toad,174
2424556,204,Mixophyes carbinensis,Carbine Frog,23
2425439,204,Pristimantis phoxocephalus,Cotopaxi Robber Frog,0
2431297,204,Bolitoglossa yucatana,Yucatan Mushroomtongue Salamander,184
2425569,203,Pristimantis verecundus,Zacualtipan Robber Frog,55
2431721,203,Aneides hardii,Sacramento Mountain Salamander,104
5218008,203,Boana cordobae,,175
10870267,202,Cacosternum australis,Southern Dainty Frog,17
2428475,202,Dendropsophus microps,Nova Friburgo Treefrog,66
2429809,202,Leiopelma archeyi,Archey's Frog,189
2430997,202,Schistometopum thomense,Sao Tome Caecilian,32
2431526,202,Plethodon vandykei,Van Dyke's Salamander,77
7709772,202,Engystomops puyango,,1
2427159,201,Lithobates heckscheri,River Frog,
2427994,201,Phyllomedusa distincta,Sao Paulo Leaf Frog,107
2431344,201,Bolitoglossa mexicana,Mexican Mushroomtongue Salamander,109
2431466,201,Pseudotriton montanus,Mud Salamander,98
5217922,201,Scinax squalirostris,Striped Snouted Treefrog,108
5785963,201,Pseudophilautus popularis,Common Shrub Frog,128
7773159,201,Andinobates opisthomelas,Andean Poison Frog,187
10699072,200,Nymphargus grandisonae,Rana De Cristal Sarampiona,48
2424358,200,Cycloramphus boraceiensis,Boraceia Button Frog,13
2429930,200,Arthroleptella lightfooti,Cape Peninsula Chirping Frog,181
5218338,200,Onychodactylus fischeri,Fischer's Clawed Salamander,5
2425123,199,Pristimantis condor,Condor Robber Frog,23
2431125,199,Ranodon sibiricus,Semirechensk Salamander,10
2431551,199,Parvimolge townsendi,Townsend's Salamander,11
2432039,199,Andrias japonicus,Japanese Giant Salamander,175
9699398,198,Uperodon mormoratus,Indian Dot Frog,108
2430284,197,Nanorana pleskei,Tibetan Frog,4
5217529,197,Leptodactylus bufonius,Vizcacheras' White-lipped Frog,99
5217767,197,Huia masonii,,
10790860,195,Sclerophrys pardalis,Eastern Leopard Toad,27
