species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
2334898,13,Neophrynichthys heterospilos,,
2334952,13,Paraheminodus murrayi,Murray's Armoured Gurnard,
2335190,13,Ocosia zaspilota,,0
2335550,13,Sebastes phillipsi,Chameleon Rockfish,
2335885,13,Apistops caloundra,,
2336611,13,Pterygotrigla ryukyuensis,,
2336790,13,Chelidonichthys queketti,Lesser Gurnard,0
2336854,13,Eumicrotremus phrynoides,Toad Lumpsucker,
2337840,13,Wallago leerii,,
2338022,13,Cetopsis candiru,,8
2338236,13,Hemibagrus spilopterus,,9
2338938,13,Megalonema platycephalum,,11
2339234,13,Hisonotus francirochai,,3
2339258,13,Hisonotus notatus,,0
2340082,13,Sturisoma lyra,,0
2340710,13,Pangasianodon gigas,Mekong Giant Catfish,10
2341045,13,Prietella phreatophila,Mexican Blindcat,0
2342904,13,Ituglanis metae,,9
2343582,13,Rhamdioglanis frenatus,,3
2343999,13,Amblydoras gonzalezi,Thorny Catfish,9
2344210,13,Chiloglanis productus,,
2344312,13,Synodontis notatus,Onespot Squeaker,5
2344329,13,Synodontis leopardinus,Leopard Squeaker,4
2344430,13,Synodontis flavitaeniatus,Orangestriped Squeaker,5
2344445,13,Synodontis ouemeensis,,0
2344480,13,Synodontis melanopterus,,0
2344503,13,Synodontis levequei,,0
2345217,13,Galeichthys peruvianus,Peruvian Sea Catfish,8
5202481,13,Pangasius conchophilus,,13
5202503,13,Andersonia leptura,Whiptailed Nile Catfish,0
5202521,13,Ictalurus pricei,Yaqui Catfish,2
5202612,13,Neosilurus pseudospinosus,Falsespine Catfish,0
5202718,13,Clarias pachynema,,0
5202897,13,Vandellia cirrhosa,,4
5202901,13,Vandellia beccarii,,6
5961271,13,Batasio fluviatilis,,13
6167987,13,Platydoras hancockii,Blue-eye Catfish,0
9484288,13,Chaetostoma platyrhynchus,,
2406679,13,Thamnaconus striatus,,
2407574,13,Takifugu snyderi,,11
2408072,13,Triacanthodes intermedius,,
2333146,13,Corythoichthys polynotatus,Many-spotted Pipefish,5
2333208,13,Enneacampus ansorgii,African Freshwater Pipefish,0
2333315,13,Lissocampus runa,Javelin Pipefish,8
