species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
5226211,25,Draco walkeri,,
5789533,25,Anatololacerta danfordi,Danford's Lizard,21
5959483,25,Psammophis leopardinus,Leopard Grass Snake,11
5959924,25,Hemidactylus pumilio,Pigmy Leaf-toed Gecko,0
5960079,25,Hemidactylus muriceus,Guinea Leaf-toed Gecko,5
7471187,25,Cnemaspis affinis,Pinang Island Rock Gecko,23
7788481,25,Hemidactylus paucituberculatus,Dhofar Coastal Gecko,22
7815346,25,Cyrtodactylus astrum,Starry Bent-toed Gecko,25
8223649,25,Agama lebretoni,Lebreton’s Agama,24
8330539,25,Xantusia wigginsi,Wiggins' Desert Night Lizard,
8982077,25,Bothriechis guifarroi,,
9251698,25,Hebius optatus,Mount Omei Keelback,25
9517180,25,Sceloporus gadsdeni,Lagoon Spiny Lizard,
9601488,25,Hebius beddomei,Beddome's Keelback,
9988187,25,Boaedon perisilvestris,,20
2441980,25,Acanthochelys pallidipectoris,Chaco Sideneck Turtle,22
2442517,25,Nilssonia leithii,Leiths Softshell Turtle,22
2442753,25,Lissemys scutata,Burmese Flapshell Turtle,11
9321256,25,Amyda ornata,Southeast Asian Softshell Turtle,
10231937,24,Lycodonomorphus mlanjensis,Mlanje White-bellied Water-snake,17
10648109,24,Anolis lososi,Losos’s Anole,
10863700,24,Lycodon pictus,,21
11150593,24,Glaucomastix abaetensis,Bahian Sand Dune Lizard,23
11202447,24,Smaug swazicus,Swazi Dragon Lizard,9
11215421,24,Paroedura rennerae,,
2444524,24,Montatheris hindii,Kenya Montane Viper,22
2445215,24,Sphaerodactylus copei,Cope's Least Gecko,23
2445297,24,Sphaerodactylus klauberi,Klauber's Dwarf Gecko,19
2445376,24,Sphaerodactylus dunni,Dunn's Least Gecko,24
2445858,24,Afroedura hawequensis,Cape Rock Gecko,7
2446162,24,Homonota underwoodi,,24
2446166,24,Homonota uruguayensis,Uruguay Marked Gecko,23
2446356,24,Cyrtodactylus triedrus,Spotted Bent-toed Gecko,14
2447288,24,Asaccus griseonotus,Gray-marked Gecko,8
2447733,24,Nephrurus vertebralis,Midline Knob-tail,20
2448184,24,Goggia essexi,Essex’s Dwarf Leaf-toed Gecko,0
2448226,24,Xenosaurus platyceps,Flathead Knob-scaled Lizard,20
2448383,24,Leptotyphlops kafubi,Shaba Thread Snake,16
2448745,24,Uropeltis ellioti,Elliot's Earth Snake,22
2448906,24,Calumma furcifer,,18
2449873,24,Suta fasciata,Rosen's Snake,23
2450798,24,Acratosaura mentalis,Amaral's Colobosaura,
2453037,24,Pareas hamptoni,Hampton's Slug Snake,23
2453359,24,Ahaetulla pulverulenta,Brown-speckled Whipsnake,12
2456536,24,Scaphiophis albopunctatus,African Shovel-nosed Snake,19
2458354,24,Apostolepis nigrolineata,Pará Blackhead,
2459712,24,Sauromalus varius,Piebald Chuckwalla,14
2460535,24,Liolaemus signifer,Zodiac Tree Iguana,16
2461916,24,Caledoniscincus haplorhinus,Strand Litter Skink,8
2462063,24,Oligosoma microlepis,Small-scaled Skink,5
2463629,24,Cryptoblepharus leschenault,Leschenault Snake Eyed Skink,6
2463990,24,Phoboscincus garnieri,Garnier's Giant Skink,
2464709,24,Lerista connivens,Blinking Broad-blazed Slider,5
2464730,24,Lerista puncticauda,Dotty-tailed Robust Slider,0
2466408,24,Phrynocephalus strauchi,Strauch's Toad Agama,21
2466481,24,Diporiphora bennettii,Kimberley Sandstone Dragon,9
2466980,24,Anolis noblei,Holguin Anole,22
2467317,24,Anolis barbouri,Hispaniolan Hopping Anole,13
4287387,24,Kinyongia xenorhina,Strange-horned Chameleon,
5220757,24,Bothrops insularis,Golden Lancehead,
5221153,24,Pachydactylus carinatus,Richtersveld Gecko,16
5222621,24,Oligodon affinis,Kukri Snake,22
5224351,24,Salvadora intermedia,Oaxacan Patchnose Snake,16
5226947,24,Micrurus langsdorffi,Confused Coral Snake,21
5227108,24,Calliophis bibroni,Bibron's Coral Snake,22
5227314,24,Rhinotyphlops schinzi,(Schinz's) Beaked Blind Snake,10
5959833,24,Phyllodactylus lepidopygus,Western Leaf-toed Gecko,23
5960712,24,Liasis mackloti,Freckled Python,
6158969,24,Gerrhosaurus typicus,Karoo Plated Lizard,4
8177488,24,Dopasia gracilis,Asian Glass Lizard,12
8287222,24,Dieurostus dussumieri,Dussumier's Water Snake,14
8536143,24,Cyrtodactylus sanook,Sanook Bent-toed Gecko,24
8605112,24,Bothriechis nubestris,Talamancan Palm-pitviper,
8718109,24,Anolis urraoi,Urrao Anole,
9012191,24,Vipera graeca,Greek Meadow Viper,9
9310297,24,Erythrolamprus ceii,,17
9351947,24,Anilios hamatus,Pale-headed Blind Snake,9
9371703,24,Subsessor bocourti,Bocourt's Mud Snake,23
2441368,24,Alligator sinensis,Chinese Alligator,17
10831759,23,Asthenodipsas borneensis,Bornean Dark-necked Slug Snake,
11134172,23,Atractus pachacamac,,
11161507,23,Ptyodactylus rivapadiali,Riva And Padial’s Fan-footed Gecko,
11164055,23,Hebius khasiensis,Khasi Hills Keelback,17
11182994,23,Asthenodipsas ingeri,Inger’s Slug Snake,
